hours_ago,station,temp_c,wind_kt,gust_kt,wind_dir,vis_km,pressure_hpa
109,Bharati,-29.5,23.5,28.5,103,4.7,985.6
108,Bharati,-29.8,25.8,31.0,137,1.6,985.4
107,Bharati,-29.1,23.0,28.3,102,4.1,985.2
106,Bharati,-28.1,23.1,28.9,95,4.3,984.9
105,Bharati,-27.7,22.8,26.8,81,2.2,984.8
104,Bharati,-27.1,23.4,30.9,90,4.9,984.9
103,Bharati,-26.5,27.0,33.5,88,3.4,984.5
102,Bharati,-25.4,22.0,28.4,106,4.8,984.0
101,Bharati,-24.7,23.6,28.1,92,2.4,984.5
100,Bharati,-24.0,25.5,32.5,94,2.7,984.1
99,Bharati,-23.4,24.7,29.6,94,4.4,984.1
98,Bharati,-23.4,24.4,31.5,74,4.0,984.0
97,Bharati,-23.6,19.7,24.0,106,4.2,983.7
96,Bharati,-24.1,23.4,30.0,95,2.9,983.6
95,Bharati,-24.3,19.9,26.8,88,4.7,983.8
94,Bharati,-25.1,20.8,25.0,75,3.8,982.9
93,Bharati,-26.2,16.8,20.1,81,6.2,983.6
92,Bharati,-26.6,18.6,24.4,90,3.3,983.2
91,Bharati,-27.8,19.2,22.7,101,4.3,983.1
90,Bharati,-28.3,15.8,19.8,107,5.5,982.8
89,Bharati,-29.2,15.6,18.9,94,5.9,982.6
88,Bharati,-30.3,15.8,19.4,96,6.4,983.0
87,Bharati,-30.3,15.9,18.5,82,6.4,983.1
86,Bharati,-30.9,15.1,19.6,100,5.3,983.0
85,Bharati,-30.6,10.3,13.1,96,6.4,982.6
84,Bharati,-30.5,12.4,15.4,98,5.3,982.6
83,Bharati,-29.9,11.1,15.0,94,7.7,982.2
82,Bharati,-29.0,11.0,13.5,86,5.7,982.7
81,Bharati,-28.3,10.6,13.8,95,5.5,982.8
80,Bharati,-27.6,7.4,8.9,128,7.0,982.6
79,Bharati,-26.6,7.2,8.4,78,7.8,982.4
78,Bharati,-26.0,8.3,10.8,89,8.0,982.2
77,Bharati,-25.1,9.6,12.6,86,5.8,982.8
76,Bharati,-24.7,11.5,13.9,99,6.4,982.8
75,Bharati,-24.3,8.4,9.9,99,8.1,982.7
74,Bharati,-23.9,8.3,10.8,97,5.8,982.4
73,Bharati,-24.3,8.6,11.1,93,7.5,982.6
72,Bharati,-24.3,8.0,10.3,101,7.3,983.1
71,Bharati,-24.2,10.0,13.2,90,6.0,983.2
70,Bharati,-25.0,10.2,12.5,106,6.2,982.8
69,Bharati,-25.8,11.8,15.4,102,6.3,982.8
68,Bharati,-26.1,11.0,12.7,81,6.4,983.1
67,Bharati,-26.9,13.6,17.8,74,4.5,982.9
66,Bharati,-28.0,15.6,18.2,88,5.7,983.0
65,Bharati,-28.6,13.1,15.7,74,6.7,983.3
64,Bharati,-29.0,16.1,20.1,92,5.3,983.7
63,Bharati,-29.3,15.6,20.6,108,5.8,983.9
62,Bharati,-29.3,17.7,22.2,77,5.4,984.0
61,Bharati,-29.6,16.0,20.8,89,6.7,983.7
60,Bharati,-29.4,21.0,24.4,100,3.4,983.7
59,Bharati,-28.6,17.9,20.8,72,4.6,983.8
58,Bharati,-28.5,18.9,22.6,81,5.2,984.4
57,Bharati,-27.9,20.0,23.7,89,5.0,984.7
56,Bharati,-27.0,23.7,31.6,109,2.9,984.7
55,Bharati,-25.8,21.1,24.4,98,5.3,984.8
54,Bharati,-25.1,25.5,32.7,83,2.1,984.5
53,Bharati,-24.4,25.1,32.4,98,3.3,984.9
52,Bharati,-23.7,24.1,30.8,100,4.7,985.0
51,Bharati,-23.7,25.8,29.6,107,3.8,985.0
50,Bharati,-23.4,22.7,28.3,76,3.5,985.9
49,Bharati,-23.3,23.9,31.3,99,3.1,985.9
48,Bharati,-23.9,25.1,29.7,92,4.0,985.6
47,Bharati,-24.7,24.0,29.9,83,3.9,985.6
46,Bharati,-25.2,27.2,35.8,109,3.0,985.7
45,Bharati,-25.8,23.4,29.6,132,3.3,986.4
44,Bharati,-26.8,23.4,28.7,97,3.5,986.2
43,Bharati,-27.9,24.9,29.9,93,2.2,986.8
42,Bharati,-28.4,22.8,30.0,84,2.3,986.3
41,Bharati,-29.3,24.2,28.7,103,3.0,986.3
40,Bharati,-30.3,20.7,25.4,81,2.8,987.1
39,Bharati,-30.4,22.6,29.5,86,4.6,986.8
38,Bharati,-30.8,22.2,29.8,102,4.6,987.1
37,Bharati,-30.9,19.6,23.8,104,4.8,987.1
36,Bharati,-30.0,20.2,23.8,102,5.0,987.5
35,Bharati,-29.8,18.8,22.1,109,5.2,987.4
34,Bharati,-29.0,20.1,25.7,93,3.3,986.9
33,Bharati,-28.1,18.0,21.9,86,6.0,987.0
32,Bharati,-27.3,18.2,22.9,105,4.8,987.4
31,Bharati,-26.1,17.8,23.4,111,5.1,987.3
30,Bharati,-25.5,14.9,19.6,110,4.5,987.5
29,Bharati,-25.2,12.1,16.3,89,7.4,987.6
28,Bharati,-24.3,13.4,17.5,86,4.4,987.3
27,Bharati,-24.1,11.6,14.7,85,5.3,987.6
26,Bharati,-23.7,9.2,11.8,93,5.7,987.9
25,Bharati,-23.8,10.5,13.4,96,7.1,987.5
24,Bharati,-23.6,12.2,15.0,74,5.9,987.5
23,Bharati,-24.1,10.1,12.5,93,7.8,987.6
22,Bharati,-24.4,10.1,13.1,98,6.0,987.5
21,Bharati,-25.7,9.0,11.3,112,6.5,987.4
20,Bharati,-26.6,8.6,10.3,100,5.7,987.6
19,Bharati,-26.9,10.8,13.4,98,7.3,987.3
18,Bharati,-27.9,10.5,12.3,114,6.6,987.5
17,Bharati,-28.7,8.1,9.8,112,5.8,987.0
16,Bharati,-29.1,7.0,8.1,81,8.5,986.9
15,Bharati,-29.3,11.9,14.9,87,5.3,987.2
14,Bharati,-29.7,9.2,11.4,121,5.8,987.1
13,Bharati,-29.7,11.0,13.1,100,7.5,986.9
12,Bharati,-29.1,12.7,16.4,96,4.9,986.8
11,Bharati,-28.7,9.4,11.2,93,6.2,986.3
10,Bharati,-28.1,13.6,16.6,87,6.3,986.7
9,Bharati,-27.5,11.8,15.8,92,6.7,985.9
8,Bharati,-26.4,13.7,17.3,111,4.4,986.2
7,Bharati,-25.8,15.9,18.6,95,4.6,985.8
6,Bharati,-25.0,17.2,23.2,85,3.5,985.8
5,Bharati,-24.1,18.2,22.8,78,3.7,985.6
4,Bharati,-23.2,17.0,21.3,89,6.0,985.7
3,Bharati,-22.8,16.2,21.1,88,4.1,985.4
2,Bharati,-22.6,20.1,24.1,89,4.2,985.1
1,Bharati,-22.8,17.2,21.8,73,5.6,984.9
0,Bharati,-28.4,24.0,30.0,95,4.5,982.5
71,Maitri,-19.4,8.0,9.3,91,6.7,983.0
70,Maitri,-20.1,11.0,13.0,116,6.2,982.7
69,Maitri,-21.0,12.3,14.4,88,6.6,983.3
68,Maitri,-22.0,13.4,16.8,105,4.6,983.5
67,Maitri,-22.6,11.6,13.6,89,5.7,983.4
66,Maitri,-23.6,14.2,17.5,90,5.4,983.4
65,Maitri,-24.2,11.1,14.3,112,7.8,983.3
64,Maitri,-24.6,15.1,17.7,92,4.6,983.4
63,Maitri,-24.9,15.0,17.4,81,6.4,983.4
62,Maitri,-25.3,17.2,20.2,101,5.0,983.5
61,Maitri,-25.4,15.6,19.1,107,5.7,983.7
60,Maitri,-24.9,19.9,24.8,99,5.6,983.8
59,Maitri,-24.3,16.9,22.0,104,6.2,984.4
58,Maitri,-23.8,16.9,19.5,95,5.3,984.7
57,Maitri,-22.7,17.8,21.6,103,5.6,984.3
56,Maitri,-21.9,21.5,25.9,80,5.2,984.9
55,Maitri,-21.3,23.5,28.3,76,4.7,984.9
54,Maitri,-20.7,21.1,27.1,93,4.6,984.6
53,Maitri,-19.7,21.6,26.8,79,5.3,985.4
52,Maitri,-18.8,23.1,29.2,88,4.7,985.4
51,Maitri,-18.6,23.3,30.2,113,3.6,985.7
50,Maitri,-18.0,26.4,33.2,97,3.6,985.4
49,Maitri,-18.6,23.7,31.7,78,3.9,985.3
48,Maitri,-18.7,24.3,29.2,90,2.9,985.6
47,Maitri,-19.4,22.9,27.8,96,4.1,986.3
46,Maitri,-20.2,24.9,30.9,77,2.1,986.2
45,Maitri,-20.9,24.1,32.2,88,1.8,985.9
44,Maitri,-21.8,26.9,33.6,102,3.2,986.0
43,Maitri,-22.4,26.2,31.5,108,2.6,986.2
42,Maitri,-23.1,23.7,30.4,77,3.9,986.9
41,Maitri,-23.8,23.0,29.8,83,3.0,986.5
40,Maitri,-24.8,23.5,28.2,95,2.0,987.0
39,Maitri,-24.8,23.2,28.5,103,4.6,986.6
38,Maitri,-25.0,22.6,29.5,88,3.4,987.1
37,Maitri,-25.3,20.7,25.4,97,3.8,986.8
36,Maitri,-24.8,20.7,24.0,88,5.1,987.4
35,Maitri,-24.5,21.0,25.4,110,2.9,987.0
34,Maitri,-23.9,18.0,20.7,77,3.7,987.0
33,Maitri,-22.9,16.6,19.7,105,4.5,987.0
32,Maitri,-21.8,17.0,21.3,82,5.4,987.6
31,Maitri,-20.9,16.2,20.7,82,4.8,987.6
30,Maitri,-20.1,15.5,20.5,102,5.9,987.8
29,Maitri,-19.6,14.2,18.1,98,6.4,987.1
28,Maitri,-19.5,11.6,13.4,89,5.5,987.2
27,Maitri,-18.7,15.4,20.7,97,6.1,987.3
26,Maitri,-18.5,10.9,14.2,94,6.2,987.5
25,Maitri,-18.8,9.6,12.2,115,8.1,987.8
24,Maitri,-19.1,13.2,16.7,93,6.4,987.1
23,Maitri,-19.6,11.7,15.4,88,7.0,987.7
22,Maitri,-20.0,8.5,10.9,104,7.1,987.3
21,Maitri,-20.9,10.2,12.0,113,6.7,987.2
20,Maitri,-22.0,10.5,13.5,89,5.5,987.3
19,Maitri,-22.5,8.5,10.4,105,6.5,987.2
18,Maitri,-23.5,8.5,10.2,94,6.4,987.1
17,Maitri,-23.8,8.0,9.7,83,7.6,987.2
16,Maitri,-24.7,7.1,8.5,103,8.2,987.4
15,Maitri,-25.3,8.9,10.8,95,7.9,987.0
14,Maitri,-25.1,9.4,12.6,102,6.6,987.2
13,Maitri,-25.2,9.1,11.8,95,7.6,986.9
12,Maitri,-24.8,10.8,14.0,109,6.0,986.5
11,Maitri,-24.4,12.2,15.0,100,7.5,986.8
10,Maitri,-24.2,10.1,12.5,91,5.2,986.0
9,Maitri,-23.6,10.3,12.0,84,7.6,986.3
8,Maitri,-22.6,11.3,14.9,104,7.5,986.5
7,Maitri,-21.7,11.9,15.8,74,7.0,985.8
6,Maitri,-20.5,12.3,15.6,88,5.1,986.1
5,Maitri,-19.8,14.7,17.0,87,5.5,985.4
4,Maitri,-19.1,16.2,21.4,104,6.3,985.6
3,Maitri,-18.6,16.1,21.4,99,3.7,985.5
2,Maitri,-18.6,17.2,22.5,80,5.7,985.3
1,Maitri,-18.2,20.3,26.0,93,3.8,984.8
0,Maitri,-18.6,17.5,22.3,99,3.7,985.4
